game,speaker,referent,referent_id,mds_1,mds_2,mds_3
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,#00905f,17,1.3895154345743863,-1.9689026359090938,0.06548200701061081
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#ae6c00,6,-3.3780302633425388,-1.1562713449502835,-1.5317654014335178
6055-523df967-9fff-4240-9641-0582631f8802,610006b5173cacb40e469b7b,#ae6c00,6,0.9255576155549645,1.5984034494266153,3.04037357363777
9031-a87ae5eb-af8f-4b52-aa0f-60b9ac2807ba,61001a7d72ee7fa3032b8a1a,#009246,16,1.4895167143906871,-2.9790592092104142,1.1068541086394568
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,610761e24c57926a06f219e2,#a265a6,34,-0.28150519157027337,-1.5433118294723924,0.6465163467981537
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,#009072,19,1.4435230860359292,-2.495909679327446,0.540176141388355
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,#0785ac,26,0.18250919405626084,1.4546293440032654,-1.8744693557778165
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,#00907c,20,2.619674803933031,1.6777812051613825,0.18762384846619368
4983-d6509fca-8aef-47b6-9c12-d8ff3bffafb2,6151f63958f5eb5b33db9239,#6976be,30,0.4496532170716928,1.0547663289043179,0.06403042325983327
5611-d27589ce-fdf4-488b-b982-f5fc34b521ab,610761e24c57926a06f219e2,#da4836,2,-2.1743199092272545,-1.1726065463648423,-1.3239268490891771
3730-56c8d6da-cb90-4c3a-817a-92d7a415d9e3,60c9fcbb6090f57f63cdbebf,#da464a,1,-1.2902009667336012,-1.4765281994073773,2.1427786411497354
0198-5e695728-0481-4864-a152-cf981b7e539e,60fcd99413d2d738147c7d55,#009072,19,0.9788660075687831,-2.136809666493662,2.6265287080816444
