game,speaker,systematicity,hopkins,learn_score,own_score,comm_score,alignment,n_clusters,btwn_clust_sys,within_clust_sys
0739-0ef11871-3b27-486a-99f3-0c26b2628260,6109876949a63b51388197c2,0.594478909792727,0.615440296886547,3.775236440247487,0.5848732539472554,0.5339306180207484,1.1189046871965602,1.0,0.0,0.600021866722142
0739-0ef11871-3b27-486a-99f3-0c26b2628260,602e0102c7be4d8f930bccb5,0.582345260405627,0.594923096638527,3.465017145736685,0.5339306180207484,0.5848732539472554,1.1189046871965602,1.0,0.0,0.858859023579127
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,6053ce04a276ce713b3e7c1a,0.615654091377786,0.659273270319405,3.5416971506292465,0.6109997441314728,0.6430548027620817,0.1964034568325399,5.0,0.775202165085778,0.7891126739980743
3951-8c86a62b-51da-4b32-bd8a-2e560b8ad009,60fcfce988af0e9f331ec84a,0.407809726808396,0.669795767968384,1.4904736977705841,0.6430548027620817,0.6109997441314728,0.1964034568325399,2.0,1.0,0.5537215953423219
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5aa26bda35237b000112e35d,0.654520500011257,0.802551920838678,1.8197085083424938,0.6405556627984936,0.5806873811383586,1.42881176939207,5.0,0.751818371195281,0.766760140117462
4377-e719cef4-3bba-44a1-8aec-8fc607a84bc9,5d2c030eb3efb1001b7e4989,0.58091953563494,0.721904648938314,2.840535072557178,0.5806873811383586,0.6405556627984936,1.42881176939207,3.0,0.991694855609257,0.6668739194086912
4516-f0e189ae-c01a-4dd4-aa63-524371292e12,610068e5f60debf1dafc444d,0.801648563459635,0.743998994048682,4.187187112768564,0.7992953068895325,0.835482387994964,2.6646561787330203,4.0,0.9305393713787,0.6662480960671037
4516-f0e189ae-c01a-4dd4-aa63-524371292e12,610e25f9f9818357aca7dc5f,0.764530034291813,0.837483476287142,4.477568469692963,0.835482387994964,0.7992953068895325,2.6646561787330203,5.0,0.811237026846483,0.675914359393424
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5b0f33dd1e55760001b9a9ce,0.8194792181878,0.664703272653238,,0.6756778326965915,0.6974553565722844,1.3546048059654598,5.0,0.866045988163114,0.6907378966851747
7315-163874f0-02f8-4f26-bd01-99758fad2f81,5e2f1e401a4075000d1bee59,0.703073922680658,0.833606970795522,2.9817354614395186,0.6974553565722844,0.6756778326965915,1.3546048059654598,4.0,0.908046182385005,0.7311325999484786
0198-5e695728-0481-4864-a152-cf981b7e539e,5bace93b5cd4520001dc04a5,0.782400602318922,0.673690766130742,1.9196385321176628,0.8116862437972351,0.7611012174933246,2.38170991125852,5.0,0.939388877866656,0.7337160456067092
0198-5e695728-0481-4864-a152-cf981b7e539e,60fcd99413d2d738147c7d55,0.793273153736758,0.782755487754466,3.0148767031484573,0.7611012174933246,0.8116862437972351,2.38170991125852,5.0,0.749403172576013,0.7213316243251121
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,58727901d53c97000159dc92,0.526863336945989,0.701997287079485,4.186731103011597,0.5675077386963412,0.4733609238606634,0.0,4.0,0.881271747979358,0.6674574156738633
2126-392c15c0-3baa-4914-90e4-db0a9b0a1479,60fe0ff2978d9def5d345ecd,0.507860322178229,0.549156602026441,3.8162956304674855,0.4733609238606634,0.5675077386963412,0.0,1.0,0.0,0.488156846834232
